city,all_median_income
"San Jose city, California","113,036"
"San Francisco city, California","112,376"
"Seattle city, Washington","93,481"
"Washington city, District of Columbia","85,203"
"San Diego city, California","79,646"
"Portland city, Oregon","73,097"
"Boston city, Massachusetts","71,834"
"Austin city, Texas","71,543"
"Denver city, Colorado","68,377"
"New York city, New York","63,799"
"Los Angeles city, California","62,474"
"Charlotte city, North Carolina","60,764"
"Nashville-Davidson metropolitan government (balance), Tennessee","60,324"
"Fort Worth city, Texas","58,448"
"Phoenix city, Arizona","57,957"
"Chicago city, Illinois","57,238"
"Jacksonville city, Florida","54,269"
"Columbus city, Ohio","52,971"
"Dallas city, Texas","52,210"
"Houston city, Texas","51,203"
"San Antonio city, Texas","49,024"
"Indianapolis city (balance), Indiana","47,678"
"Philadelphia city, Pennsylvania","46,116"
"El Paso city, Texas","45,031"
"Detroit city, Michigan","31,283"