Metro	Dimension Type	Month	Dimension	Measure	Value	YoY
National	Job Title	2019-10	Accountant	Median Base Pay	$ 57,854	1.4%
National	Job Title	2019-10	Administrative Assistant	Median Base Pay	$ 42,411	2.4%
National	Job Title	2019-10	Attorney	Median Base Pay	$ 99,562	1.1%
National	Job Title	2019-10	Bank Teller	Median Base Pay	$ 32,250	2.4%
National	Job Title	2019-10	Barista	Median Base Pay	$ 25,141	2.8%
National	Job Title	2019-10	Bartender	Median Base Pay	$ 34,854	1.2%
National	Job Title	2019-10	Business Analyst	Median Base Pay	$ 66,865	1.4%
National	Job Title	2019-10	Business Development Manager	Median Base Pay	$ 69,905	-2.0%
National	Job Title	2019-10	Buyer	Median Base Pay	$ 60,078	3.1%
National	Job Title	2019-10	Cashier	Median Base Pay	$ 28,016	2.9%
National	Job Title	2019-10	Certified Nursing Assistant	Median Base Pay	$ 29,166	3.4%
National	Job Title	2019-10	Civil Engineer	Median Base Pay	$ 71,376	2.2%
National	Job Title	2019-10	Claims Adjuster	Median Base Pay	$ 54,963	3.3%
National	Job Title	2019-10	Communications Manager	Median Base Pay	$ 69,709	-0.0%
National	Job Title	2019-10	Construction Laborer	Median Base Pay	$ 42,942	6.1%
National	Job Title	2019-10	Consultant	Median Base Pay	$ 75,085	1.4%
National	Job Title	2019-10	Customer Service Manager	Median Base Pay	$ 54,892	0.6%
National	Job Title	2019-10	Customer Service Representative	Median Base Pay	$ 38,578	3.7%
National	Job Title	2019-10	Data Analyst	Median Base Pay	$ 62,795	3.3%
National	Job Title	2019-10	Data Scientist	Median Base Pay	$ 98,153	0.3%
National	Job Title	2019-10	Delivery Driver	Median Base Pay	$ 40,860	1.2%
National	Job Title	2019-10	Design Engineer	Median Base Pay	$ 74,727	2.5%
National	Job Title	2019-10	Electrical Engineer	Median Base Pay	$ 80,858	1.9%
National	Job Title	2019-10	Emergency Medical Technician	Median Base Pay	$ 36,005	3.3%
National	Job Title	2019-10	Field Engineer	Median Base Pay	$ 70,756	1.6%
National	Job Title	2019-10	Financial Advisor	Median Base Pay	$ 56,141	1.5%
National	Job Title	2019-10	Financial Analyst	Median Base Pay	$ 65,303	1.8%
National	Job Title	2019-10	Graphic Designer	Median Base Pay	$ 46,173	0.7%
National	Job Title	2019-10	Human Resources Manager	Median Base Pay	$ 71,136	-0.9%
National	Job Title	2019-10	Insurance Agent	Median Base Pay	$ 41,956	2.2%
National	Job Title	2019-10	IT Manager	Median Base Pay	$ 86,323	2.5%
National	Job Title	2019-10	Java Developer	Median Base Pay	$ 78,354	1.1%
National	Job Title	2019-10	Licensed Practical Nurse	Median Base Pay	$ 44,159	1.4%
National	Job Title	2019-10	Loan Officer	Median Base Pay	$ 47,850	0.6%
National	Job Title	2019-10	Machine Operator	Median Base Pay	$ 41,045	4.3%
National	Job Title	2019-10	Maintenance Technician	Median Base Pay	$ 46,506	4.8%
National	Job Title	2019-10	Maintenance Worker	Median Base Pay	$ 40,747	-0.2%
National	Job Title	2019-10	Manufacturing Engineer	Median Base Pay	$ 75,978	2.3%
National	Job Title	2019-10	Marketing Manager	Median Base Pay	$ 68,807	1.4%
National	Job Title	2019-10	Material Handler	Median Base Pay	$ 37,385	2.3%
National	Job Title	2019-10	Mechanical Engineer	Median Base Pay	$ 77,585	1.7%
National	Job Title	2019-10	Medical Assistant	Median Base Pay	$ 34,087	2.3%
National	Job Title	2019-10	Medical Technologist	Median Base Pay	$ 55,891	2.1%
National	Job Title	2019-10	Office Manager	Median Base Pay	$ 48,681	2.4%
National	Job Title	2019-10	Operations Analyst	Median Base Pay	$ 56,585	-0.2%
National	Job Title	2019-10	Operations Manager	Median Base Pay	$ 70,299	1.5%
National	Job Title	2019-10	Paralegal	Median Base Pay	$ 50,983	1.8%
National	Job Title	2019-10	Pharmacist	Median Base Pay	$ 125,508	-1.1%
National	Job Title	2019-10	Pharmacy Technician	Median Base Pay	$ 32,485	4.5%
National	Job Title	2019-10	Physical Therapist	Median Base Pay	$ 77,916	3.1%
National	Job Title	2019-10	Process Engineer	Median Base Pay	$ 81,084	1.2%
National	Job Title	2019-10	Producer	Median Base Pay	$ 53,560	3.2%
National	Job Title	2019-10	Product Manager	Median Base Pay	$ 96,995	1.6%
National	Job Title	2019-10	Production Manager	Median Base Pay	$ 69,014	1.8%
National	Job Title	2019-10	Professor	Median Base Pay	$ 89,795	2.1%
National	Job Title	2019-10	Program Manager	Median Base Pay	$ 75,811	0.6%
National	Job Title	2019-10	Programmer Analyst	Median Base Pay	$ 70,982	2.3%
National	Job Title	2019-10	Project Manager	Median Base Pay	$ 76,283	1.0%
National	Job Title	2019-10	Property Manager	Median Base Pay	$ 53,214	1.9%
National	Job Title	2019-10	Quality Engineer	Median Base Pay	$ 75,052	2.5%
National	Job Title	2019-10	Recruiter	Median Base Pay	$ 52,835	3.3%
National	Job Title	2019-10	Registered Nurse	Median Base Pay	$ 68,513	1.7%
National	Job Title	2019-10	Research Assistant	Median Base Pay	$ 31,264	2.3%
National	Job Title	2019-10	Restaurant Cook	Median Base Pay	$ 28,982	0.6%
National	Job Title	2019-10	Restaurant Manager	Median Base Pay	$ 50,741	1.6%
National	Job Title	2019-10	Retail Key Holder	Median Base Pay	$ 31,113	4.6%
National	Job Title	2019-10	Sales Manager	Median Base Pay	$ 65,370	3.3%
National	Job Title	2019-10	Sales Representative	Median Base Pay	$ 49,920	2.6%
National	Job Title	2019-10	Security Officer	Median Base Pay	$ 36,717	4.9%
National	Job Title	2019-10	Server	Median Base Pay	$ 34,543	2.3%
National	Job Title	2019-10	Software Engineer	Median Base Pay	$ 90,183	2.1%
National	Job Title	2019-10	Solutions Architect	Median Base Pay	$ 108,784	1.2%
National	Job Title	2019-10	Store Manager	Median Base Pay	$ 50,519	1.9%
National	Job Title	2019-10	Systems Engineer	Median Base Pay	$ 81,152	2.1%
National	Job Title	2019-10	Tax Manager	Median Base Pay	$ 90,440	0.9%
National	Job Title	2019-10	Teacher	Median Base Pay	$ 48,700	2.6%
National	Job Title	2019-10	Technical Editor	Median Base Pay	$ 52,588	2.1%
National	Job Title	2019-10	Technical Support	Median Base Pay	$ 47,225	1.6%
National	Job Title	2019-10	Technician	Median Base Pay	$ 47,961	2.7%
National	Job Title	2019-10	Truck Driver	Median Base Pay	$ 56,117	2.8%
National	Job Title	2019-10	UX Designer	Median Base Pay	$ 78,043	1.2%
National	Job Title	2019-10	Warehouse Associate	Median Base Pay	$ 43,222	5.4%
National	Job Title	2019-10	Web Designer	Median Base Pay	$ 55,047	1.3%
National	Job Title	2019-10	Web Developer	Median Base Pay	$ 68,307	3.6%
Atlanta	Job Title	2019-10	Accountant	Median Base Pay	$ 59,704	1.5%
Atlanta	Job Title	2019-10	Administrative Assistant	Median Base Pay	$ 44,265	2.5%
Atlanta	Job Title	2019-10	Attorney	Median Base Pay	$ 107,300	1.2%
Atlanta	Job Title	2019-10	Bank Teller	Median Base Pay	$ 33,213	2.5%
Atlanta	Job Title	2019-10	Barista	Median Base Pay	$ 22,953	2.9%
Atlanta	Job Title	2019-10	Bartender	Median Base Pay	$ 36,317	1.3%
Atlanta	Job Title	2019-10	Business Analyst	Median Base Pay	$ 73,472	1.5%
Atlanta	Job Title	2019-10	Business Development Manager	Median Base Pay	$ 75,096	-1.9%
Atlanta	Job Title	2019-10	Buyer	Median Base Pay	$ 61,222	3.2%
Atlanta	Job Title	2019-10	Cashier	Median Base Pay	$ 26,531	3.0%
Atlanta	Job Title	2019-10	Certified Nursing Assistant	Median Base Pay	$ 26,805	3.5%
Atlanta	Job Title	2019-10	Civil Engineer	Median Base Pay	$ 71,264	2.3%
Atlanta	Job Title	2019-10	Claims Adjuster	Median Base Pay	$ 51,261	3.4%
Atlanta	Job Title	2019-10	Communications Manager	Median Base Pay	$ 75,273	0.1%
Atlanta	Job Title	2019-10	Construction Laborer	Median Base Pay	$ 38,714	6.2%
Atlanta	Job Title	2019-10	Consultant	Median Base Pay	$ 87,892	1.5%
Atlanta	Job Title	2019-10	Customer Service Manager	Median Base Pay	$ 55,069	0.7%
Atlanta	Job Title	2019-10	Customer Service Representative	Median Base Pay	$ 39,648	3.8%
Atlanta	Job Title	2019-10	Data Analyst	Median Base Pay	$ 67,435	3.3%
Atlanta	Job Title	2019-10	Data Scientist	Median Base Pay	$ 102,846	0.4%
Atlanta	Job Title	2019-10	Delivery Driver	Median Base Pay	$ 39,737	1.3%
Atlanta	Job Title	2019-10	Design Engineer	Median Base Pay	$ 74,508	2.6%
Atlanta	Job Title	2019-10	Electrical Engineer	Median Base Pay	$ 80,594	2.0%
Atlanta	Job Title	2019-10	Emergency Medical Technician	Median Base Pay	$ 38,183	3.4%
Atlanta	Job Title	2019-10	Field Engineer	Median Base Pay	$ 68,254	1.7%
Atlanta	Job Title	2019-10	Financial Advisor	Median Base Pay	$ 54,638	1.7%
Atlanta	Job Title	2019-10	Financial Analyst	Median Base Pay	$ 67,391	1.9%
Atlanta	Job Title	2019-10	Graphic Designer	Median Base Pay	$ 51,656	0.8%
Atlanta	Job Title	2019-10	Human Resources Manager	Median Base Pay	$ 77,813	-0.8%
Atlanta	Job Title	2019-10	Insurance Agent	Median Base Pay	$ 36,706	2.3%
Atlanta	Job Title	2019-10	IT Manager	Median Base Pay	$ 102,331	2.6%
Atlanta	Job Title	2019-10	Java Developer	Median Base Pay	$ 81,544	1.2%
Atlanta	Job Title	2019-10	Licensed Practical Nurse	Median Base Pay	$ 45,372	1.5%
Atlanta	Job Title	2019-10	Loan Officer	Median Base Pay	$ 46,178	0.7%
Atlanta	Job Title	2019-10	Machine Operator	Median Base Pay	$ 39,331	4.4%
Atlanta	Job Title	2019-10	Maintenance Technician	Median Base Pay	$ 49,824	4.9%
Atlanta	Job Title	2019-10	Maintenance Worker	Median Base Pay	$ 38,315	-0.1%
Atlanta	Job Title	2019-10	Manufacturing Engineer	Median Base Pay	$ 75,763	2.4%
Atlanta	Job Title	2019-10	Marketing Manager	Median Base Pay	$ 77,436	1.5%
Atlanta	Job Title	2019-10	Material Handler	Median Base Pay	$ 35,530	2.4%
Atlanta	Job Title	2019-10	Mechanical Engineer	Median Base Pay	$ 77,627	1.8%
Atlanta	Job Title	2019-10	Medical Assistant	Median Base Pay	$ 34,655	2.4%
Atlanta	Job Title	2019-10	Medical Technologist	Median Base Pay	$ 59,113	2.2%
Atlanta	Job Title	2019-10	Office Manager	Median Base Pay	$ 49,799	2.5%
Atlanta	Job Title	2019-10	Operations Analyst	Median Base Pay	$ 58,370	-0.1%
Atlanta	Job Title	2019-10	Operations Manager	Median Base Pay	$ 74,414	1.6%
Atlanta	Job Title	2019-10	Paralegal	Median Base Pay	$ 56,388	1.9%
Atlanta	Job Title	2019-10	Pharmacist	Median Base Pay	$ 117,783	-1.1%
Atlanta	Job Title	2019-10	Pharmacy Technician	Median Base Pay	$ 31,152	4.6%
Atlanta	Job Title	2019-10	Physical Therapist	Median Base Pay	$ 80,405	3.1%
Atlanta	Job Title	2019-10	Process Engineer	Median Base Pay	$ 80,655	1.3%
Atlanta	Job Title	2019-10	Producer	Median Base Pay	$ 62,051	3.3%
Atlanta	Job Title	2019-10	Product Manager	Median Base Pay	$ 104,160	1.7%
Atlanta	Job Title	2019-10	Production Manager	Median Base Pay	$ 70,733	1.9%
Atlanta	Job Title	2019-10	Professor	Median Base Pay	$ 93,089	2.2%
Atlanta	Job Title	2019-10	Program Manager	Median Base Pay	$ 82,855	0.7%
Atlanta	Job Title	2019-10	Programmer Analyst	Median Base Pay	$ 75,802	2.4%
Atlanta	Job Title	2019-10	Project Manager	Median Base Pay	$ 81,331	1.1%
Atlanta	Job Title	2019-10	Property Manager	Median Base Pay	$ 57,721	2.0%
Atlanta	Job Title	2019-10	Quality Engineer	Median Base Pay	$ 73,562	2.6%
Atlanta	Job Title	2019-10	Recruiter	Median Base Pay	$ 54,562	3.4%
Atlanta	Job Title	2019-10	Registered Nurse	Median Base Pay	$ 67,073	1.8%
Atlanta	Job Title	2019-10	Research Assistant	Median Base Pay	$ 31,428	2.4%
Atlanta	Job Title	2019-10	Restaurant Cook	Median Base Pay	$ 27,503	0.6%
Atlanta	Job Title	2019-10	Restaurant Manager	Median Base Pay	$ 52,425	1.7%
Atlanta	Job Title	2019-10	Retail Key Holder	Median Base Pay	$ 31,306	4.7%
Atlanta	Job Title	2019-10	Sales Manager	Median Base Pay	$ 70,918	3.4%
Atlanta	Job Title	2019-10	Sales Representative	Median Base Pay	$ 52,765	2.7%
Atlanta	Job Title	2019-10	Security Officer	Median Base Pay	$ 34,259	5.0%
Atlanta	Job Title	2019-10	Server	Median Base Pay	$ 35,117	2.4%
Atlanta	Job Title	2019-10	Software Engineer	Median Base Pay	$ 87,932	2.2%
Atlanta	Job Title	2019-10	Solutions Architect	Median Base Pay	$ 119,342	1.3%
Atlanta	Job Title	2019-10	Store Manager	Median Base Pay	$ 52,781	1.9%
Atlanta	Job Title	2019-10	Systems Engineer	Median Base Pay	$ 81,287	2.2%
Atlanta	Job Title	2019-10	Tax Manager	Median Base Pay	$ 95,452	1.0%
Atlanta	Job Title	2019-10	Teacher	Median Base Pay	$ 50,282	2.6%
Atlanta	Job Title	2019-10	Technical Editor	Median Base Pay	$ 54,272	2.2%
Atlanta	Job Title	2019-10	Technical Support	Median Base Pay	$ 46,398	1.7%
Atlanta	Job Title	2019-10	Technician	Median Base Pay	$ 46,668	2.8%
Atlanta	Job Title	2019-10	Truck Driver	Median Base Pay	$ 54,825	2.9%
Atlanta	Job Title	2019-10	UX Designer	Median Base Pay	$ 84,840	1.3%
Atlanta	Job Title	2019-10	Warehouse Associate	Median Base Pay	$ 41,066	5.5%
Atlanta	Job Title	2019-10	Web Designer	Median Base Pay	$ 63,143	1.4%
Atlanta	Job Title	2019-10	Web Developer	Median Base Pay	$ 78,844	3.7%
New York City	Job Title	2019-10	Accountant	Median Base Pay	$ 66,204	1.7%
New York City	Job Title	2019-10	Administrative Assistant	Median Base Pay	$ 53,054	2.7%
New York City	Job Title	2019-10	Attorney	Median Base Pay	$ 130,096	1.4%
New York City	Job Title	2019-10	Bank Teller	Median Base Pay	$ 36,288	2.6%
New York City	Job Title	2019-10	Barista	Median Base Pay	$ 28,724	3.0%
New York City	Job Title	2019-10	Bartender	Median Base Pay	$ 40,510	1.5%
New York City	Job Title	2019-10	Business Analyst	Median Base Pay	$ 82,441	1.6%
New York City	Job Title	2019-10	Business Development Manager	Median Base Pay	$ 84,538	-1.8%
New York City	Job Title	2019-10	Buyer	Median Base Pay	$ 73,965	3.3%
New York City	Job Title	2019-10	Cashier	Median Base Pay	$ 30,228	3.2%
New York City	Job Title	2019-10	Certified Nursing Assistant	Median Base Pay	$ 37,665	3.7%
New York City	Job Title	2019-10	Civil Engineer	Median Base Pay	$ 80,891	2.5%
New York City	Job Title	2019-10	Claims Adjuster	Median Base Pay	$ 60,063	3.5%
New York City	Job Title	2019-10	Communications Manager	Median Base Pay	$ 88,862	0.2%
New York City	Job Title	2019-10	Construction Laborer	Median Base Pay	$ 52,327	6.4%
New York City	Job Title	2019-10	Consultant	Median Base Pay	$ 93,187	1.7%
New York City	Job Title	2019-10	Customer Service Manager	Median Base Pay	$ 62,513	0.8%
New York City	Job Title	2019-10	Customer Service Representative	Median Base Pay	$ 45,549	3.9%
New York City	Job Title	2019-10	Data Analyst	Median Base Pay	$ 74,235	3.5%
New York City	Job Title	2019-10	Data Scientist	Median Base Pay	$ 116,440	0.6%
New York City	Job Title	2019-10	Delivery Driver	Median Base Pay	$ 42,493	1.5%
New York City	Job Title	2019-10	Design Engineer	Median Base Pay	$ 81,684	2.7%
New York City	Job Title	2019-10	Electrical Engineer	Median Base Pay	$ 84,002	2.1%
New York City	Job Title	2019-10	Emergency Medical Technician	Median Base Pay	$ 41,123	3.6%
New York City	Job Title	2019-10	Field Engineer	Median Base Pay	$ 77,239	1.9%
New York City	Job Title	2019-10	Financial Advisor	Median Base Pay	$ 63,124	1.8%
New York City	Job Title	2019-10	Financial Analyst	Median Base Pay	$ 78,984	2.1%
New York City	Job Title	2019-10	Graphic Designer	Median Base Pay	$ 59,915	0.9%
New York City	Job Title	2019-10	Human Resources Manager	Median Base Pay	$ 90,551	-0.6%
New York City	Job Title	2019-10	Insurance Agent	Median Base Pay	$ 43,309	2.4%
New York City	Job Title	2019-10	IT Manager	Median Base Pay	$ 109,836	2.7%
New York City	Job Title	2019-10	Java Developer	Median Base Pay	$ 91,206	1.3%
New York City	Job Title	2019-10	Licensed Practical Nurse	Median Base Pay	$ 55,501	1.6%
New York City	Job Title	2019-10	Loan Officer	Median Base Pay	$ 50,177	0.9%
New York City	Job Title	2019-10	Machine Operator	Median Base Pay	$ 42,871	4.6%
New York City	Job Title	2019-10	Maintenance Technician	Median Base Pay	$ 49,593	5.1%
New York City	Job Title	2019-10	Maintenance Worker	Median Base Pay	$ 40,739	0.0%
New York City	Job Title	2019-10	Manufacturing Engineer	Median Base Pay	$ 76,874	2.5%
New York City	Job Title	2019-10	Marketing Manager	Median Base Pay	$ 86,953	1.7%
New York City	Job Title	2019-10	Material Handler	Median Base Pay	$ 41,372	2.6%
New York City	Job Title	2019-10	Mechanical Engineer	Median Base Pay	$ 79,532	2.0%
New York City	Job Title	2019-10	Medical Assistant	Median Base Pay	$ 38,957	2.6%
New York City	Job Title	2019-10	Medical Technologist	Median Base Pay	$ 65,368	2.3%
New York City	Job Title	2019-10	Office Manager	Median Base Pay	$ 60,114	2.7%
New York City	Job Title	2019-10	Operations Analyst	Median Base Pay	$ 73,422	0.1%
New York City	Job Title	2019-10	Operations Manager	Median Base Pay	$ 82,032	1.8%
New York City	Job Title	2019-10	Paralegal	Median Base Pay	$ 60,095	2.1%
New York City	Job Title	2019-10	Pharmacist	Median Base Pay	$ 121,440	-0.9%
New York City	Job Title	2019-10	Pharmacy Technician	Median Base Pay	$ 33,079	4.7%
New York City	Job Title	2019-10	Physical Therapist	Median Base Pay	$ 81,727	3.3%
New York City	Job Title	2019-10	Process Engineer	Median Base Pay	$ 86,032	1.5%
New York City	Job Title	2019-10	Producer	Median Base Pay	$ 78,856	3.5%
New York City	Job Title	2019-10	Product Manager	Median Base Pay	$ 115,021	1.8%
New York City	Job Title	2019-10	Production Manager	Median Base Pay	$ 81,276	2.0%
New York City	Job Title	2019-10	Professor	Median Base Pay	$ 117,172	2.3%
New York City	Job Title	2019-10	Program Manager	Median Base Pay	$ 91,573	0.9%
New York City	Job Title	2019-10	Programmer Analyst	Median Base Pay	$ 85,096	2.6%
New York City	Job Title	2019-10	Project Manager	Median Base Pay	$ 89,718	1.2%
New York City	Job Title	2019-10	Property Manager	Median Base Pay	$ 70,242	2.1%
New York City	Job Title	2019-10	Quality Engineer	Median Base Pay	$ 78,656	2.8%
New York City	Job Title	2019-10	Recruiter	Median Base Pay	$ 64,432	3.6%
New York City	Job Title	2019-10	Registered Nurse	Median Base Pay	$ 88,555	1.9%
New York City	Job Title	2019-10	Research Assistant	Median Base Pay	$ 38,156	2.5%
New York City	Job Title	2019-10	Restaurant Cook	Median Base Pay	$ 33,005	0.8%
New York City	Job Title	2019-10	Restaurant Manager	Median Base Pay	$ 59,538	1.8%
New York City	Job Title	2019-10	Retail Key Holder	Median Base Pay	$ 37,167	4.9%
New York City	Job Title	2019-10	Sales Manager	Median Base Pay	$ 81,543	3.5%
New York City	Job Title	2019-10	Sales Representative	Median Base Pay	$ 58,453	2.8%
New York City	Job Title	2019-10	Security Officer	Median Base Pay	$ 41,370	5.2%
New York City	Job Title	2019-10	Server	Median Base Pay	$ 36,384	2.5%
New York City	Job Title	2019-10	Software Engineer	Median Base Pay	$ 110,067	2.4%
New York City	Job Title	2019-10	Solutions Architect	Median Base Pay	$ 124,367	1.5%
New York City	Job Title	2019-10	Store Manager	Median Base Pay	$ 61,635	2.1%
New York City	Job Title	2019-10	Systems Engineer	Median Base Pay	$ 90,361	2.4%
New York City	Job Title	2019-10	Tax Manager	Median Base Pay	$ 117,127	1.2%
New York City	Job Title	2019-10	Teacher	Median Base Pay	$ 67,531	2.8%
New York City	Job Title	2019-10	Technical Editor	Median Base Pay	$ 59,241	2.3%
New York City	Job Title	2019-10	Technical Support	Median Base Pay	$ 58,575	1.9%
New York City	Job Title	2019-10	Technician	Median Base Pay	$ 54,651	2.9%
New York City	Job Title	2019-10	Truck Driver	Median Base Pay	$ 59,696	3.1%
New York City	Job Title	2019-10	UX Designer	Median Base Pay	$ 93,866	1.5%
New York City	Job Title	2019-10	Warehouse Associate	Median Base Pay	$ 42,629	5.7%
New York City	Job Title	2019-10	Web Designer	Median Base Pay	$ 69,376	1.6%
New York City	Job Title	2019-10	Web Developer	Median Base Pay	$ 87,846	3.8%
Los Angeles	Job Title	2019-10	Accountant	Median Base Pay	$ 63,877	1.9%
Los Angeles	Job Title	2019-10	Administrative Assistant	Median Base Pay	$ 51,206	2.9%
Los Angeles	Job Title	2019-10	Attorney	Median Base Pay	$ 134,087	1.6%
Los Angeles	Job Title	2019-10	Bank Teller	Median Base Pay	$ 34,910	2.9%
Los Angeles	Job Title	2019-10	Barista	Median Base Pay	$ 28,207	3.3%
Los Angeles	Job Title	2019-10	Bartender	Median Base Pay	$ 37,338	1.8%
Los Angeles	Job Title	2019-10	Business Analyst	Median Base Pay	$ 77,487	1.9%
Los Angeles	Job Title	2019-10	Business Development Manager	Median Base Pay	$ 81,262	-1.5%
Los Angeles	Job Title	2019-10	Buyer	Median Base Pay	$ 66,506	3.6%
Los Angeles	Job Title	2019-10	Cashier	Median Base Pay	$ 31,882	3.5%
Los Angeles	Job Title	2019-10	Certified Nursing Assistant	Median Base Pay	$ 35,933	4.0%
Los Angeles	Job Title	2019-10	Civil Engineer	Median Base Pay	$ 84,663	2.7%
Los Angeles	Job Title	2019-10	Claims Adjuster	Median Base Pay	$ 61,065	3.8%
Los Angeles	Job Title	2019-10	Communications Manager	Median Base Pay	$ 87,159	0.5%
Los Angeles	Job Title	2019-10	Construction Laborer	Median Base Pay	$ 45,935	6.6%
Los Angeles	Job Title	2019-10	Consultant	Median Base Pay	$ 93,569	1.9%
Los Angeles	Job Title	2019-10	Customer Service Manager	Median Base Pay	$ 63,790	1.1%
Los Angeles	Job Title	2019-10	Customer Service Representative	Median Base Pay	$ 46,036	4.2%
Los Angeles	Job Title	2019-10	Data Analyst	Median Base Pay	$ 74,855	3.8%
Los Angeles	Job Title	2019-10	Data Scientist	Median Base Pay	$ 120,759	0.9%
Los Angeles	Job Title	2019-10	Delivery Driver	Median Base Pay	$ 44,704	1.8%
Los Angeles	Job Title	2019-10	Design Engineer	Median Base Pay	$ 87,527	3.0%
Los Angeles	Job Title	2019-10	Electrical Engineer	Median Base Pay	$ 91,119	2.4%
Los Angeles	Job Title	2019-10	Emergency Medical Technician	Median Base Pay	$ 36,798	3.9%
Los Angeles	Job Title	2019-10	Field Engineer	Median Base Pay	$ 77,133	2.1%
Los Angeles	Job Title	2019-10	Financial Advisor	Median Base Pay	$ 61,695	2.1%
Los Angeles	Job Title	2019-10	Financial Analyst	Median Base Pay	$ 74,114	2.4%
Los Angeles	Job Title	2019-10	Graphic Designer	Median Base Pay	$ 59,239	1.2%
Los Angeles	Job Title	2019-10	Human Resources Manager	Median Base Pay	$ 88,400	-0.4%
Los Angeles	Job Title	2019-10	Insurance Agent	Median Base Pay	$ 46,947	2.7%
Los Angeles	Job Title	2019-10	IT Manager	Median Base Pay	$ 111,896	3.0%
Los Angeles	Job Title	2019-10	Java Developer	Median Base Pay	$ 92,048	1.6%
Los Angeles	Job Title	2019-10	Licensed Practical Nurse	Median Base Pay	$ 51,667	1.9%
Los Angeles	Job Title	2019-10	Loan Officer	Median Base Pay	$ 50,112	1.1%
Los Angeles	Job Title	2019-10	Machine Operator	Median Base Pay	$ 40,915	4.8%
Los Angeles	Job Title	2019-10	Maintenance Technician	Median Base Pay	$ 49,144	5.4%
Los Angeles	Job Title	2019-10	Maintenance Worker	Median Base Pay	$ 45,277	0.3%
Los Angeles	Job Title	2019-10	Manufacturing Engineer	Median Base Pay	$ 84,172	2.8%
Los Angeles	Job Title	2019-10	Marketing Manager	Median Base Pay	$ 87,222	2.0%
Los Angeles	Job Title	2019-10	Material Handler	Median Base Pay	$ 39,068	2.8%
Los Angeles	Job Title	2019-10	Mechanical Engineer	Median Base Pay	$ 86,681	2.2%
Los Angeles	Job Title	2019-10	Medical Assistant	Median Base Pay	$ 37,865	2.9%
Los Angeles	Job Title	2019-10	Medical Technologist	Median Base Pay	$ 65,381	2.6%
Los Angeles	Job Title	2019-10	Office Manager	Median Base Pay	$ 60,115	2.9%
Los Angeles	Job Title	2019-10	Operations Analyst	Median Base Pay	$ 64,767	0.3%
Los Angeles	Job Title	2019-10	Operations Manager	Median Base Pay	$ 80,127	2.1%
Los Angeles	Job Title	2019-10	Paralegal	Median Base Pay	$ 65,760	2.4%
Los Angeles	Job Title	2019-10	Pharmacist	Median Base Pay	$ 136,353	-0.6%
Los Angeles	Job Title	2019-10	Pharmacy Technician	Median Base Pay	$ 39,265	5.0%
Los Angeles	Job Title	2019-10	Physical Therapist	Median Base Pay	$ 95,870	3.6%
Los Angeles	Job Title	2019-10	Process Engineer	Median Base Pay	$ 87,302	1.7%
Los Angeles	Job Title	2019-10	Producer	Median Base Pay	$ 80,449	3.8%
Los Angeles	Job Title	2019-10	Product Manager	Median Base Pay	$ 111,038	2.1%
Los Angeles	Job Title	2019-10	Production Manager	Median Base Pay	$ 83,330	2.3%
