Metro	Dimension Type	Month	Dimension	Measure	Value	YoY
Los Angeles	Job Title	2019-10	Professor	Median Base Pay	$ 115,076	2.6%
Los Angeles	Job Title	2019-10	Program Manager	Median Base Pay	$ 92,607	1.2%
Los Angeles	Job Title	2019-10	Programmer Analyst	Median Base Pay	$ 83,119	2.9%
Los Angeles	Job Title	2019-10	Project Manager	Median Base Pay	$ 88,287	1.5%
Los Angeles	Job Title	2019-10	Property Manager	Median Base Pay	$ 65,662	2.4%
Los Angeles	Job Title	2019-10	Quality Engineer	Median Base Pay	$ 85,311	3.1%
Los Angeles	Job Title	2019-10	Recruiter	Median Base Pay	$ 63,532	3.9%
Los Angeles	Job Title	2019-10	Registered Nurse	Median Base Pay	$ 92,542	2.2%
Los Angeles	Job Title	2019-10	Research Assistant	Median Base Pay	$ 35,500	2.8%
Los Angeles	Job Title	2019-10	Restaurant Cook	Median Base Pay	$ 33,947	1.1%
Los Angeles	Job Title	2019-10	Restaurant Manager	Median Base Pay	$ 59,527	2.1%
Los Angeles	Job Title	2019-10	Retail Key Holder	Median Base Pay	$ 36,653	5.2%
Los Angeles	Job Title	2019-10	Sales Manager	Median Base Pay	$ 78,939	3.8%
Los Angeles	Job Title	2019-10	Sales Representative	Median Base Pay	$ 57,849	3.1%
Los Angeles	Job Title	2019-10	Security Officer	Median Base Pay	$ 40,719	5.5%
Los Angeles	Job Title	2019-10	Server	Median Base Pay	$ 35,306	2.8%
Los Angeles	Job Title	2019-10	Software Engineer	Median Base Pay	$ 103,087	2.7%
Los Angeles	Job Title	2019-10	Solutions Architect	Median Base Pay	$ 123,082	1.8%
Los Angeles	Job Title	2019-10	Store Manager	Median Base Pay	$ 63,155	2.4%
Los Angeles	Job Title	2019-10	Systems Engineer	Median Base Pay	$ 94,184	2.6%
Los Angeles	Job Title	2019-10	Tax Manager	Median Base Pay	$ 107,186	1.4%
Los Angeles	Job Title	2019-10	Teacher	Median Base Pay	$ 64,345	3.1%
Los Angeles	Job Title	2019-10	Technical Editor	Median Base Pay	$ 61,517	2.6%
Los Angeles	Job Title	2019-10	Technical Support	Median Base Pay	$ 56,388	2.1%
Los Angeles	Job Title	2019-10	Technician	Median Base Pay	$ 54,718	3.2%
Los Angeles	Job Title	2019-10	Truck Driver	Median Base Pay	$ 58,550	3.4%
Los Angeles	Job Title	2019-10	UX Designer	Median Base Pay	$ 92,533	1.7%
Los Angeles	Job Title	2019-10	Warehouse Associate	Median Base Pay	$ 46,369	5.9%
Los Angeles	Job Title	2019-10	Web Designer	Median Base Pay	$ 66,884	1.8%
Los Angeles	Job Title	2019-10	Web Developer	Median Base Pay	$ 83,937	4.1%
Philadelphia	Job Title	2019-10	Accountant	Median Base Pay	$ 60,791	2.1%
Philadelphia	Job Title	2019-10	Administrative Assistant	Median Base Pay	$ 45,862	3.1%
Philadelphia	Job Title	2019-10	Attorney	Median Base Pay	$ 111,457	1.8%
Philadelphia	Job Title	2019-10	Bank Teller	Median Base Pay	$ 33,378	3.1%
Philadelphia	Job Title	2019-10	Barista	Median Base Pay	$ 23,615	3.5%
Philadelphia	Job Title	2019-10	Bartender	Median Base Pay	$ 37,299	1.9%
Philadelphia	Job Title	2019-10	Business Analyst	Median Base Pay	$ 70,992	2.1%
Philadelphia	Job Title	2019-10	Business Development Manager	Median Base Pay	$ 73,062	-1.4%
Philadelphia	Job Title	2019-10	Buyer	Median Base Pay	$ 61,981	3.8%
Philadelphia	Job Title	2019-10	Cashier	Median Base Pay	$ 27,369	3.7%
Philadelphia	Job Title	2019-10	Certified Nursing Assistant	Median Base Pay	$ 32,272	4.2%
Philadelphia	Job Title	2019-10	Civil Engineer	Median Base Pay	$ 76,110	2.9%
Philadelphia	Job Title	2019-10	Claims Adjuster	Median Base Pay	$ 55,656	4.0%
Philadelphia	Job Title	2019-10	Communications Manager	Median Base Pay	$ 78,213	0.7%
Philadelphia	Job Title	2019-10	Construction Laborer	Median Base Pay	$ 46,883	6.8%
Philadelphia	Job Title	2019-10	Consultant	Median Base Pay	$ 84,333	2.1%
Philadelphia	Job Title	2019-10	Customer Service Manager	Median Base Pay	$ 57,130	1.3%
Philadelphia	Job Title	2019-10	Customer Service Representative	Median Base Pay	$ 42,803	4.4%
Philadelphia	Job Title	2019-10	Data Analyst	Median Base Pay	$ 66,681	4.0%
Philadelphia	Job Title	2019-10	Data Scientist	Median Base Pay	$ 104,608	1.0%
Philadelphia	Job Title	2019-10	Delivery Driver	Median Base Pay	$ 41,958	1.9%
Philadelphia	Job Title	2019-10	Design Engineer	Median Base Pay	$ 76,798	3.2%
Philadelphia	Job Title	2019-10	Electrical Engineer	Median Base Pay	$ 84,692	2.6%
Philadelphia	Job Title	2019-10	Emergency Medical Technician	Median Base Pay	$ 39,314	4.1%
Philadelphia	Job Title	2019-10	Field Engineer	Median Base Pay	$ 69,857	2.3%
Philadelphia	Job Title	2019-10	Financial Advisor	Median Base Pay	$ 63,385	2.3%
Philadelphia	Job Title	2019-10	Financial Analyst	Median Base Pay	$ 66,608	2.6%
Philadelphia	Job Title	2019-10	Graphic Designer	Median Base Pay	$ 51,066	1.4%
Philadelphia	Job Title	2019-10	Human Resources Manager	Median Base Pay	$ 80,078	-0.2%
Philadelphia	Job Title	2019-10	Insurance Agent	Median Base Pay	$ 42,788	2.9%
Philadelphia	Job Title	2019-10	IT Manager	Median Base Pay	$ 102,017	3.2%
Philadelphia	Job Title	2019-10	Java Developer	Median Base Pay	$ 84,506	1.8%
Philadelphia	Job Title	2019-10	Licensed Practical Nurse	Median Base Pay	$ 54,849	2.1%
Philadelphia	Job Title	2019-10	Loan Officer	Median Base Pay	$ 45,562	1.3%
Philadelphia	Job Title	2019-10	Machine Operator	Median Base Pay	$ 45,117	5.0%
Philadelphia	Job Title	2019-10	Maintenance Technician	Median Base Pay	$ 48,788	5.6%
Philadelphia	Job Title	2019-10	Maintenance Worker	Median Base Pay	$ 39,613	0.5%
Philadelphia	Job Title	2019-10	Manufacturing Engineer	Median Base Pay	$ 78,215	3.0%
Philadelphia	Job Title	2019-10	Marketing Manager	Median Base Pay	$ 79,231	2.2%
Philadelphia	Job Title	2019-10	Material Handler	Median Base Pay	$ 38,288	3.0%
Philadelphia	Job Title	2019-10	Mechanical Engineer	Median Base Pay	$ 80,076	2.4%
Philadelphia	Job Title	2019-10	Medical Assistant	Median Base Pay	$ 36,146	3.1%
Philadelphia	Job Title	2019-10	Medical Technologist	Median Base Pay	$ 61,141	2.8%
Philadelphia	Job Title	2019-10	Office Manager	Median Base Pay	$ 54,541	3.1%
Philadelphia	Job Title	2019-10	Operations Analyst	Median Base Pay	$ 61,553	0.5%
Philadelphia	Job Title	2019-10	Operations Manager	Median Base Pay	$ 75,483	2.3%
Philadelphia	Job Title	2019-10	Paralegal	Median Base Pay	$ 53,886	2.5%
Philadelphia	Job Title	2019-10	Pharmacist	Median Base Pay	$ 119,722	-0.5%
Philadelphia	Job Title	2019-10	Pharmacy Technician	Median Base Pay	$ 31,358	5.2%
Philadelphia	Job Title	2019-10	Physical Therapist	Median Base Pay	$ 80,547	3.8%
Philadelphia	Job Title	2019-10	Process Engineer	Median Base Pay	$ 84,056	1.9%
Philadelphia	Job Title	2019-10	Producer	Median Base Pay	$ 58,989	3.9%
Philadelphia	Job Title	2019-10	Product Manager	Median Base Pay	$ 100,408	2.3%
Philadelphia	Job Title	2019-10	Production Manager	Median Base Pay	$ 70,597	2.5%
Philadelphia	Job Title	2019-10	Professor	Median Base Pay	$ 99,416	2.8%
Philadelphia	Job Title	2019-10	Program Manager	Median Base Pay	$ 81,394	1.3%
Philadelphia	Job Title	2019-10	Programmer Analyst	Median Base Pay	$ 75,629	3.1%
Philadelphia	Job Title	2019-10	Project Manager	Median Base Pay	$ 80,680	1.7%
Philadelphia	Job Title	2019-10	Property Manager	Median Base Pay	$ 61,503	2.6%
Philadelphia	Job Title	2019-10	Quality Engineer	Median Base Pay	$ 79,360	3.3%
Philadelphia	Job Title	2019-10	Recruiter	Median Base Pay	$ 54,702	4.1%
Philadelphia	Job Title	2019-10	Registered Nurse	Median Base Pay	$ 75,475	2.4%
Philadelphia	Job Title	2019-10	Research Assistant	Median Base Pay	$ 32,050	3.0%
Philadelphia	Job Title	2019-10	Restaurant Cook	Median Base Pay	$ 31,004	1.3%
Philadelphia	Job Title	2019-10	Restaurant Manager	Median Base Pay	$ 53,019	2.3%
Philadelphia	Job Title	2019-10	Retail Key Holder	Median Base Pay	$ 32,353	5.4%
Philadelphia	Job Title	2019-10	Sales Manager	Median Base Pay	$ 72,642	4.0%
Philadelphia	Job Title	2019-10	Sales Representative	Median Base Pay	$ 54,353	3.3%
Philadelphia	Job Title	2019-10	Security Officer	Median Base Pay	$ 36,937	5.6%
Philadelphia	Job Title	2019-10	Server	Median Base Pay	$ 36,282	3.0%
Philadelphia	Job Title	2019-10	Software Engineer	Median Base Pay	$ 89,787	2.8%
Philadelphia	Job Title	2019-10	Solutions Architect	Median Base Pay	$ 115,577	1.9%
Philadelphia	Job Title	2019-10	Store Manager	Median Base Pay	$ 55,798	2.6%
Philadelphia	Job Title	2019-10	Systems Engineer	Median Base Pay	$ 83,196	2.8%
Philadelphia	Job Title	2019-10	Tax Manager	Median Base Pay	$ 97,694	1.6%
Philadelphia	Job Title	2019-10	Teacher	Median Base Pay	$ 54,271	3.3%
Philadelphia	Job Title	2019-10	Technical Editor	Median Base Pay	$ 56,046	2.8%
Philadelphia	Job Title	2019-10	Technical Support	Median Base Pay	$ 53,161	2.3%
Philadelphia	Job Title	2019-10	Technician	Median Base Pay	$ 51,056	3.4%
Philadelphia	Job Title	2019-10	Truck Driver	Median Base Pay	$ 61,177	3.6%
Philadelphia	Job Title	2019-10	UX Designer	Median Base Pay	$ 79,398	1.9%
Philadelphia	Job Title	2019-10	Warehouse Associate	Median Base Pay	$ 43,898	6.1%
Philadelphia	Job Title	2019-10	Web Designer	Median Base Pay	$ 58,070	2.0%
Philadelphia	Job Title	2019-10	Web Developer	Median Base Pay	$ 74,891	4.3%
Houston	Job Title	2019-10	Accountant	Median Base Pay	$ 60,735	0.6%
Houston	Job Title	2019-10	Administrative Assistant	Median Base Pay	$ 45,111	1.5%
Houston	Job Title	2019-10	Attorney	Median Base Pay	$ 123,669	0.3%
Houston	Job Title	2019-10	Bank Teller	Median Base Pay	$ 31,375	1.5%
Houston	Job Title	2019-10	Barista	Median Base Pay	$ 22,523	1.9%
Houston	Job Title	2019-10	Bartender	Median Base Pay	$ 38,408	0.4%
Houston	Job Title	2019-10	Business Analyst	Median Base Pay	$ 72,653	0.5%
Houston	Job Title	2019-10	Business Development Manager	Median Base Pay	$ 78,355	-2.8%
Houston	Job Title	2019-10	Buyer	Median Base Pay	$ 61,582	2.2%
Houston	Job Title	2019-10	Cashier	Median Base Pay	$ 26,694	2.1%
Houston	Job Title	2019-10	Certified Nursing Assistant	Median Base Pay	$ 27,989	2.6%
Houston	Job Title	2019-10	Civil Engineer	Median Base Pay	$ 77,828	1.3%
Houston	Job Title	2019-10	Claims Adjuster	Median Base Pay	$ 52,704	2.4%
Houston	Job Title	2019-10	Communications Manager	Median Base Pay	$ 75,286	-0.8%
Houston	Job Title	2019-10	Construction Laborer	Median Base Pay	$ 41,172	5.2%
Houston	Job Title	2019-10	Consultant	Median Base Pay	$ 84,325	0.5%
Houston	Job Title	2019-10	Customer Service Manager	Median Base Pay	$ 54,785	-0.3%
Houston	Job Title	2019-10	Customer Service Representative	Median Base Pay	$ 39,097	2.8%
Houston	Job Title	2019-10	Data Analyst	Median Base Pay	$ 66,713	2.4%
Houston	Job Title	2019-10	Data Scientist	Median Base Pay	$ 111,162	-0.5%
Houston	Job Title	2019-10	Delivery Driver	Median Base Pay	$ 38,516	0.4%
Houston	Job Title	2019-10	Design Engineer	Median Base Pay	$ 84,056	1.6%
Houston	Job Title	2019-10	Electrical Engineer	Median Base Pay	$ 85,889	1.0%
Houston	Job Title	2019-10	Emergency Medical Technician	Median Base Pay	$ 38,634	2.5%
Houston	Job Title	2019-10	Field Engineer	Median Base Pay	$ 71,693	0.8%
Houston	Job Title	2019-10	Financial Advisor	Median Base Pay	$ 54,250	0.7%
Houston	Job Title	2019-10	Financial Analyst	Median Base Pay	$ 70,448	1.0%
Houston	Job Title	2019-10	Graphic Designer	Median Base Pay	$ 48,792	-0.2%
Houston	Job Title	2019-10	Human Resources Manager	Median Base Pay	$ 82,952	-1.7%
Houston	Job Title	2019-10	Insurance Agent	Median Base Pay	$ 37,655	1.3%
Houston	Job Title	2019-10	IT Manager	Median Base Pay	$ 100,292	1.6%
Houston	Job Title	2019-10	Java Developer	Median Base Pay	$ 86,249	0.2%
Houston	Job Title	2019-10	Licensed Practical Nurse	Median Base Pay	$ 46,793	0.5%
Houston	Job Title	2019-10	Loan Officer	Median Base Pay	$ 45,641	-0.2%
Houston	Job Title	2019-10	Machine Operator	Median Base Pay	$ 40,964	3.4%
Houston	Job Title	2019-10	Maintenance Technician	Median Base Pay	$ 45,144	3.9%
Houston	Job Title	2019-10	Maintenance Worker	Median Base Pay	$ 38,940	-1.0%
Houston	Job Title	2019-10	Manufacturing Engineer	Median Base Pay	$ 78,507	1.4%
Houston	Job Title	2019-10	Marketing Manager	Median Base Pay	$ 74,989	0.6%
Houston	Job Title	2019-10	Material Handler	Median Base Pay	$ 37,096	1.4%
Houston	Job Title	2019-10	Mechanical Engineer	Median Base Pay	$ 84,351	0.9%
Houston	Job Title	2019-10	Medical Assistant	Median Base Pay	$ 35,378	1.5%
Houston	Job Title	2019-10	Medical Technologist	Median Base Pay	$ 57,253	1.2%
Houston	Job Title	2019-10	Office Manager	Median Base Pay	$ 52,523	1.6%
Houston	Job Title	2019-10	Operations Analyst	Median Base Pay	$ 64,224	-1.0%
Houston	Job Title	2019-10	Operations Manager	Median Base Pay	$ 74,081	0.7%
Houston	Job Title	2019-10	Paralegal	Median Base Pay	$ 56,281	1.0%
Houston	Job Title	2019-10	Pharmacist	Median Base Pay	$ 113,801	-2.0%
Houston	Job Title	2019-10	Pharmacy Technician	Median Base Pay	$ 34,123	3.6%
Houston	Job Title	2019-10	Physical Therapist	Median Base Pay	$ 79,264	2.2%
Houston	Job Title	2019-10	Process Engineer	Median Base Pay	$ 92,387	0.4%
Houston	Job Title	2019-10	Producer	Median Base Pay	$ 56,798	2.3%
Houston	Job Title	2019-10	Product Manager	Median Base Pay	$ 102,629	0.7%
Houston	Job Title	2019-10	Production Manager	Median Base Pay	$ 72,137	0.9%
Houston	Job Title	2019-10	Professor	Median Base Pay	$ 100,869	1.2%
Houston	Job Title	2019-10	Program Manager	Median Base Pay	$ 78,892	-0.2%
Houston	Job Title	2019-10	Programmer Analyst	Median Base Pay	$ 72,848	1.5%
Houston	Job Title	2019-10	Project Manager	Median Base Pay	$ 85,858	0.1%
Houston	Job Title	2019-10	Property Manager	Median Base Pay	$ 57,217	1.0%
Houston	Job Title	2019-10	Quality Engineer	Median Base Pay	$ 78,314	1.7%
Houston	Job Title	2019-10	Recruiter	Median Base Pay	$ 54,631	2.5%
Houston	Job Title	2019-10	Registered Nurse	Median Base Pay	$ 72,764	0.8%
Houston	Job Title	2019-10	Research Assistant	Median Base Pay	$ 31,021	1.4%
Houston	Job Title	2019-10	Restaurant Cook	Median Base Pay	$ 27,159	-0.3%
Houston	Job Title	2019-10	Restaurant Manager	Median Base Pay	$ 52,964	0.7%
Houston	Job Title	2019-10	Retail Key Holder	Median Base Pay	$ 31,126	3.7%
Houston	Job Title	2019-10	Sales Manager	Median Base Pay	$ 71,400	2.4%
Houston	Job Title	2019-10	Sales Representative	Median Base Pay	$ 51,012	1.7%
Houston	Job Title	2019-10	Security Officer	Median Base Pay	$ 35,826	4.0%
Houston	Job Title	2019-10	Server	Median Base Pay	$ 30,686	1.4%
Houston	Job Title	2019-10	Software Engineer	Median Base Pay	$ 86,380	1.3%
Houston	Job Title	2019-10	Solutions Architect	Median Base Pay	$ 108,629	0.4%
Houston	Job Title	2019-10	Store Manager	Median Base Pay	$ 52,819	1.0%
Houston	Job Title	2019-10	Systems Engineer	Median Base Pay	$ 76,972	1.2%
Houston	Job Title	2019-10	Tax Manager	Median Base Pay	$ 97,312	0.0%
Houston	Job Title	2019-10	Teacher	Median Base Pay	$ 53,765	1.7%
Houston	Job Title	2019-10	Technical Editor	Median Base Pay	$ 55,110	1.2%
Houston	Job Title	2019-10	Technical Support	Median Base Pay	$ 49,630	0.8%
Houston	Job Title	2019-10	Technician	Median Base Pay	$ 49,951	1.8%
Houston	Job Title	2019-10	Truck Driver	Median Base Pay	$ 56,313	2.0%
Houston	Job Title	2019-10	UX Designer	Median Base Pay	$ 77,567	0.4%
Houston	Job Title	2019-10	Warehouse Associate	Median Base Pay	$ 41,641	4.5%
Houston	Job Title	2019-10	Web Designer	Median Base Pay	$ 57,684	0.5%
Houston	Job Title	2019-10	Web Developer	Median Base Pay	$ 72,485	2.7%
Seattle	Job Title	2019-10	Accountant	Median Base Pay	$ 65,234	1.8%
Seattle	Job Title	2019-10	Administrative Assistant	Median Base Pay	$ 52,363	2.8%
Seattle	Job Title	2019-10	Attorney	Median Base Pay	$ 120,964	1.5%
Seattle	Job Title	2019-10	Bank Teller	Median Base Pay	$ 36,003	2.8%
Seattle	Job Title	2019-10	Barista	Median Base Pay	$ 30,397	3.2%
Seattle	Job Title	2019-10	Bartender	Median Base Pay	$ 41,929	1.6%
Seattle	Job Title	2019-10	Business Analyst	Median Base Pay	$ 80,559	1.8%
Seattle	Job Title	2019-10	Business Development Manager	Median Base Pay	$ 86,887	-1.7%
Seattle	Job Title	2019-10	Buyer	Median Base Pay	$ 71,480	3.4%
Seattle	Job Title	2019-10	Cashier	Median Base Pay	$ 35,279	3.3%
Seattle	Job Title	2019-10	Certified Nursing Assistant	Median Base Pay	$ 37,173	3.8%
Seattle	Job Title	2019-10	Civil Engineer	Median Base Pay	$ 81,083	2.6%
Seattle	Job Title	2019-10	Claims Adjuster	Median Base Pay	$ 56,639	3.6%
Seattle	Job Title	2019-10	Communications Manager	Median Base Pay	$ 87,661	0.4%
Seattle	Job Title	2019-10	Construction Laborer	Median Base Pay	$ 55,686	6.5%
Seattle	Job Title	2019-10	Consultant	Median Base Pay	$ 92,804	1.8%
Seattle	Job Title	2019-10	Customer Service Manager	Median Base Pay	$ 64,097	1.0%
Seattle	Job Title	2019-10	Customer Service Representative	Median Base Pay	$ 46,966	4.0%
Seattle	Job Title	2019-10	Data Analyst	Median Base Pay	$ 74,643	3.6%
Seattle	Job Title	2019-10	Data Scientist	Median Base Pay	$ 128,582	0.7%
Seattle	Job Title	2019-10	Delivery Driver	Median Base Pay	$ 48,698	1.6%
Seattle	Job Title	2019-10	Design Engineer	Median Base Pay	$ 87,687	2.8%
Seattle	Job Title	2019-10	Electrical Engineer	Median Base Pay	$ 94,134	2.2%
Seattle	Job Title	2019-10	Emergency Medical Technician	Median Base Pay	$ 42,900	3.7%
Seattle	Job Title	2019-10	Field Engineer	Median Base Pay	$ 76,410	2.0%
Seattle	Job Title	2019-10	Financial Advisor	Median Base Pay	$ 60,242	1.9%
Seattle	Job Title	2019-10	Financial Analyst	Median Base Pay	$ 76,771	2.2%
Seattle	Job Title	2019-10	Graphic Designer	Median Base Pay	$ 61,379	1.0%
Seattle	Job Title	2019-10	Human Resources Manager	Median Base Pay	$ 88,858	-0.5%
Seattle	Job Title	2019-10	Insurance Agent	Median Base Pay	$ 42,912	2.6%
Seattle	Job Title	2019-10	IT Manager	Median Base Pay	$ 112,042	2.9%
Seattle	Job Title	2019-10	Java Developer	Median Base Pay	$ 93,252	1.5%
Seattle	Job Title	2019-10	Licensed Practical Nurse	Median Base Pay	$ 55,184	1.8%
Seattle	Job Title	2019-10	Loan Officer	Median Base Pay	$ 51,935	1.0%
Seattle	Job Title	2019-10	Machine Operator	Median Base Pay	$ 46,720	4.7%
Seattle	Job Title	2019-10	Maintenance Technician	Median Base Pay	$ 54,024	5.2%
Seattle	Job Title	2019-10	Maintenance Worker	Median Base Pay	$ 51,444	0.2%
Seattle	Job Title	2019-10	Manufacturing Engineer	Median Base Pay	$ 82,806	2.7%
Seattle	Job Title	2019-10	Marketing Manager	Median Base Pay	$ 90,080	1.8%
Seattle	Job Title	2019-10	Material Handler	Median Base Pay	$ 42,714	2.7%
Seattle	Job Title	2019-10	Mechanical Engineer	Median Base Pay	$ 88,671	2.1%
Seattle	Job Title	2019-10	Medical Assistant	Median Base Pay	$ 46,158	2.7%
Seattle	Job Title	2019-10	Medical Technologist	Median Base Pay	$ 68,483	2.5%
Seattle	Job Title	2019-10	Office Manager	Median Base Pay	$ 60,562	2.8%
Seattle	Job Title	2019-10	Operations Analyst	Median Base Pay	$ 69,576	0.2%
Seattle	Job Title	2019-10	Operations Manager	Median Base Pay	$ 81,844	1.9%
Seattle	Job Title	2019-10	Paralegal	Median Base Pay	$ 66,287	2.2%
Seattle	Job Title	2019-10	Pharmacist	Median Base Pay	$ 126,518	-0.8%
Seattle	Job Title	2019-10	Pharmacy Technician	Median Base Pay	$ 43,569	4.8%
Seattle	Job Title	2019-10	Physical Therapist	Median Base Pay	$ 81,313	3.4%
Seattle	Job Title	2019-10	Process Engineer	Median Base Pay	$ 93,230	1.6%
Seattle	Job Title	2019-10	Producer	Median Base Pay	$ 79,117	3.6%
Seattle	Job Title	2019-10	Product Manager	Median Base Pay	$ 118,370	2.0%
Seattle	Job Title	2019-10	Production Manager	Median Base Pay	$ 73,173	2.1%
Seattle	Job Title	2019-10	Professor	Median Base Pay	$ 107,290	2.4%
Seattle	Job Title	2019-10	Program Manager	Median Base Pay	$ 99,787	1.0%
Seattle	Job Title	2019-10	Programmer Analyst	Median Base Pay	$ 88,496	2.7%
Seattle	Job Title	2019-10	Project Manager	Median Base Pay	$ 87,695	1.4%
Seattle	Job Title	2019-10	Property Manager	Median Base Pay	$ 66,567	2.3%
Seattle	Job Title	2019-10	Quality Engineer	Median Base Pay	$ 85,808	2.9%
Seattle	Job Title	2019-10	Recruiter	Median Base Pay	$ 64,401	3.7%
Seattle	Job Title	2019-10	Registered Nurse	Median Base Pay	$ 79,429	2.1%
Seattle	Job Title	2019-10	Research Assistant	Median Base Pay	$ 34,785	2.6%
Seattle	Job Title	2019-10	Restaurant Cook	Median Base Pay	$ 36,365	0.9%
Seattle	Job Title	2019-10	Restaurant Manager	Median Base Pay	$ 55,503	1.9%
Seattle	Job Title	2019-10	Retail Key Holder	Median Base Pay	$ 37,758	5.0%
Seattle	Job Title	2019-10	Sales Manager	Median Base Pay	$ 78,632	3.7%
Seattle	Job Title	2019-10	Sales Representative	Median Base Pay	$ 56,971	3.0%
Seattle	Job Title	2019-10	Security Officer	Median Base Pay	$ 47,702	5.3%
Seattle	Job Title	2019-10	Server	Median Base Pay	$ 38,931	2.6%
Seattle	Job Title	2019-10	Software Engineer	Median Base Pay	$ 118,128	2.5%
Seattle	Job Title	2019-10	Solutions Architect	Median Base Pay	$ 122,874	1.6%
Seattle	Job Title	2019-10	Store Manager	Median Base Pay	$ 60,578	2.2%
Seattle	Job Title	2019-10	Systems Engineer	Median Base Pay	$ 95,282	2.5%
Seattle	Job Title	2019-10	Tax Manager	Median Base Pay	$ 101,332	1.3%
Seattle	Job Title	2019-10	Teacher	Median Base Pay	$ 59,288	2.9%
Seattle	Job Title	2019-10	Technical Editor	Median Base Pay	$ 76,164	2.4%
Seattle	Job Title	2019-10	Technical Support	Median Base Pay	$ 56,162	2.0%
Seattle	Job Title	2019-10	Technician	Median Base Pay	$ 56,622	3.0%
Seattle	Job Title	2019-10	Truck Driver	Median Base Pay	$ 61,630	3.2%
Seattle	Job Title	2019-10	UX Designer	Median Base Pay	$ 100,520	1.6%
Seattle	Job Title	2019-10	Warehouse Associate	Median Base Pay	$ 51,897	5.8%
Seattle	Job Title	2019-10	Web Designer	Median Base Pay	$ 68,612	1.7%
Seattle	Job Title	2019-10	Web Developer	Median Base Pay	$ 90,917	4.0%
San Francisco	Job Title	2019-10	Accountant	Median Base Pay	$ 75,370	2.4%
San Francisco	Job Title	2019-10	Administrative Assistant	Median Base Pay	$ 60,483	3.4%
San Francisco	Job Title	2019-10	Attorney	Median Base Pay	$ 155,396	2.1%
San Francisco	Job Title	2019-10	Bank Teller	Median Base Pay	$ 37,846	3.3%
San Francisco	Job Title	2019-10	Barista	Median Base Pay	$ 31,694	3.8%
San Francisco	Job Title	2019-10	Bartender	Median Base Pay	$ 42,685	2.2%
San Francisco	Job Title	2019-10	Business Analyst	Median Base Pay	$ 90,526	2.3%
San Francisco	Job Title	2019-10	Business Development Manager	Median Base Pay	$ 95,835	-1.1%
San Francisco	Job Title	2019-10	Buyer	Median Base Pay	$ 82,010	4.0%
San Francisco	Job Title	2019-10	Cashier	Median Base Pay	$ 35,500	3.9%
San Francisco	Job Title	2019-10	Certified Nursing Assistant	Median Base Pay	$ 41,576	4.4%
San Francisco	Job Title	2019-10	Civil Engineer	Median Base Pay	$ 93,060	3.2%
San Francisco	Job Title	2019-10	Claims Adjuster	Median Base Pay	$ 68,059	4.2%
San Francisco	Job Title	2019-10	Communications Manager	Median Base Pay	$ 106,841	0.9%
San Francisco	Job Title	2019-10	Construction Laborer	Median Base Pay	$ 60,312	7.1%
San Francisco	Job Title	2019-10	Consultant	Median Base Pay	$ 100,955	2.4%
San Francisco	Job Title	2019-10	Customer Service Manager	Median Base Pay	$ 73,141	1.5%
San Francisco	Job Title	2019-10	Customer Service Representative	Median Base Pay	$ 52,099	4.6%
San Francisco	Job Title	2019-10	Data Analyst	Median Base Pay	$ 93,473	4.2%
San Francisco	Job Title	2019-10	Data Scientist	Median Base Pay	$ 143,896	1.3%
San Francisco	Job Title	2019-10	Delivery Driver	Median Base Pay	$ 51,604	2.2%
San Francisco	Job Title	2019-10	Design Engineer	Median Base Pay	$ 98,693	3.4%
San Francisco	Job Title	2019-10	Electrical Engineer	Median Base Pay	$ 107,243	2.8%
San Francisco	Job Title	2019-10	Emergency Medical Technician	Median Base Pay	$ 46,294	4.3%
San Francisco	Job Title	2019-10	Field Engineer	Median Base Pay	$ 82,068	2.5%
San Francisco	Job Title	2019-10	Financial Advisor	Median Base Pay	$ 71,499	2.5%
San Francisco	Job Title	2019-10	Financial Analyst	Median Base Pay	$ 87,677	2.8%
